Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
200912|8|2861|267|24039|2|390|74|399|4622|5445|0|0|0|945|622|196|0|0|139|0|8|0|12793|7380|38|64|1115|36685|933|0|155|11|72|99263|0.8
200911|13|4021|270|24235|0|302|76|341|4800|3973|0|0|0|947|710|238|0|0|153|0|9|0|15796|6712|50|66|1121|28442|961|0|182|9|62|93489|0.8
200910|10|4471|249|27975|0|332|92|391|5000|4306|0|0|0|1092|702|261|0|0|187|0|11|0|17690|7352|35|111|1168|29789|1050|0|181|13|6|102474|0.9
200909|11|4603|239|29254|0|432|77|480|5632|4651|0|0|0|1172|853|479|0|0|187|0|12|0|15630|6777|54|76|1055|31566|1074|0|227|9|3|104553|0.9
200908|9|3916|172|34181|0|400|85|579|7017|7546|0|0|0|1473|899|739|0|0|164|0|12|0|17458|7717|64|87|1466|49758|1037|0|255|0|3|135037|1.1
200907|17|3322|6|29523|0|234|146|291|6547|5977|0|0|0|1173|837|633|0|0|23|0|7|0|18804|6003|34|82|1410|37197|967|0|195|0|5|113433|1
200906|5|3032|0|24955|0|156|91|292|5456|4951|0|0|0|825|766|569|0|0|9|0|11|0|15869|5739|59|79|1345|33577|1362|1|187|0|2|99338|0.8
200905|12|3352|0|22713|0|176|85|216|4479|4046|0|0|0|798|731|517|0|0|7|0|10|0|16643|6449|83|80|1490|30422|1264|0|207|1|3|93784|0.8
200904|7|3264|2|24053|0|190|73|232|4700|3981|0|0|0|767|638|508|0|0|7|0|12|0|13654|5549|53|76|1370|27632|1329|0|227|0|5|88329|0.7
200903|15|3414|0|27428|0|164|72|340|4962|5096|0|0|0|982|793|566|0|0|4|0|9|0|15553|6252|57|76|1482|33313|1054|0|237|0|3|101872|0.9
200902|7|3214|1|31083|0|146|50|266|4615|4430|0|0|0|893|568|549|0|0|12|0|12|0|14300|6335|55|81|1321|29709|1183|0|248|0|1|99079|0.8
200901|6|3619|1|95998|0|239|56|265|4278|6262|0|0|0|1071|545|615|0|0|8|0|21|0|11754|6054|41|85|1161|34099|1114|0|280|0|4|167576|1.4
200812|2|3074|0|52742|0|257|59|221|4256|3914|0|0|0|849|437|518|0|0|4|0|10|0|9694|4984|34|79|887|32472|825|4|254|0|3|115579|1
200811|1|3114|0|20698|0|259|78|180|3975|2810|0|0|0|618|558|573|0|0|2|0|14|0|12187|4811|35|66|1192|32346|905|8|235|0|2|84667|0.7
200810|7|3275|1|17572|0|235|104|183|3360|2626|0|0|0|703|540|568|0|0|4|0|13|0|12515|3792|25|56|1527|29919|942|5|249|0|0|78221|0.7
200809|3|3754|5|20858|0|268|77|393|3573|2758|0|0|0|876|597|764|0|0|21|0|12|0|12762|3587|39|61|959|31713|1018|0|315|0|0|84413|0.7
200808|0|3272|0|24001|0|264|92|196|3436|3227|0|0|0|920|665|790|0|0|45|0|13|0|12168|3537|40|71|883|36747|1002|0|264|0|3|91636|0.8
200807|0|1146|2|6983|0|100|40|79|1079|1638|0|0|0|155|225|278|0|0|2|0|5|0|4412|1449|16|28|313|16618|300|2|87|0|0|34957|0.3
200806|0|3265|3|19467|0|288|177|215|3532|3466|0|0|0|336|750|700|0|0|8|0|10|0|12667|4288|35|62|865|44256|862|1|279|0|0|95532|0.8
200805|0|3349|0|15922|0|290|137|231|3475|3663|0|0|0|407|693|720|0|0|10|0|13|0|12373|4468|39|69|977|43409|971|4|292|0|0|91512|0.8
200804|0|2851|1|17282|0|238|142|237|2619|4237|0|0|0|414|688|612|0|0|13|0|10|0|12578|4122|54|55|929|47183|792|0|251|0|0|95308|0.8
200803|0|2732|1|15852|0|256|355|228|2234|4382|0|0|0|151|534|615|0|0|6|0|10|0|11475|3576|26|64|934|45276|854|0|235|0|0|89796|0.8
200802|0|2704|2|13041|0|239|297|214|2311|5338|0|0|0|0|490|558|0|0|2|0|0|0|10900|3832|3|77|935|60519|753|1|0|0|0|102216|0.9
200801|0|2686|0|14254|0|271|300|246|2151|7361|0|0|0|0|408|562|0|0|1|0|0|0|9216|3783|0|51|836|69670|1051|0|0|0|0|112847|1
200712|0|1669|0|7234|0|191|112|126|1406|4938|0|0|0|0|262|353|0|0|1|0|0|0|3043|3372|5|33|455|52252|330|0|0|0|0|75782|0.6
Total|24477|486455|49944|2815193|5249|40408|68226|38080|598781|456061|17425|5286|8704|134313|94364|29675|8017|3805|42246|29170|20759|6732|1931876|756846|93619|24899|148851|3719496|112779|9147|25963|23711|1025111840808|100
Percentage|0.2|4.1|0.4|23.8|0|0.3|0.6|0.3|5.1|3.9|0.1|0|0.1|1.1|0.8|0.3|0.1|0|0.4|0.2|0.2|0.1|16.3|6.4|0.8|0.2|1.3|31.4|1|0.1|0.2|0.2|0.1|100
