Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201011|19444|95964|22354|821598|2060|43552|777386|5357|6|136251|1206136|225568|1543676|881361|170301|0|894359|965988|1625010|200053|15599|1177589|1|698764|413977|30|950769|550334|1921|3415|13448823|1.5
201010|10694|71838|8936|1004537|1968|24543|472669|5288|6|58730|1438524|266135|1634294|1069010|185399|0|792590|833397|999235|202330|9801|745730|2|704216|533224|20|952430|386367|4107|8|12416028|1.4
201009|10372|69471|10088|719391|2293|10209|554120|5522|16|65307|1590302|308010|1604817|1378065|190661|0|720213|754962|1042025|171790|4061|676512|1|864152|428899|42|667041|288986|0|0|12137328|1.4
201008|8637|110510|7002|425302|2588|9285|653538|11164|5|93556|1850614|303658|1798129|1337009|208518|0|727719|961332|835868|195685|4149|553504|5|897595|421830|47|591909|245234|0|4|12254396|1.4
201007|5753|64433|3039|223488|2272|13296|429405|5726|7|56065|1464356|230692|1274894|766109|154724|0|490280|670334|538113|127315|2183|335883|3|816110|509815|20|303926|130701|0|0|8618942|1
201006|5054|45893|1370|150773|2936|0|336954|16368|3|47812|1471934|162166|1258318|730248|152109|0|861805|853461|478562|97117|2203|343590|5|460013|509607|14|290790|100830|0|1|8379936|1
201005|7802|59305|1252|171609|2601|1|418527|14037|3|92003|1128294|244776|2112509|466750|232867|0|748141|1033272|551676|140235|3842|433519|0|625950|277089|66|467403|133091|0|6|9366626|1.1
201004|8106|40412|275|45678|3620|0|427929|9336|1|77520|761481|339152|2567838|281942|285358|0|749583|817936|719623|134792|3605|500191|3|694837|349605|83|469598|151048|0|0|9439552|1.1
201003|8842|12029|19|2693|3263|0|444985|8426|1|113639|643514|258388|2317501|287575|398813|0|913374|984238|597979|148061|3705|482606|2|620297|248923|49|492761|90035|0|0|9081718|1
201002|10366|4319|22|95|2880|0|297642|8936|3|73780|680175|261953|1368926|307463|260859|0|1037198|658163|429023|137629|3200|469405|0|571605|263091|82|1040602|70309|0|0|7957726|0.9
201001|10321|3796|22|33|4363|0|342113|12725|0|49267|735850|292573|1116841|522892|219967|2|939095|809011|465192|163871|3452|497194|7|774963|254803|30|714795|69899|0|0|8003077|0.9
200912|11279|3005|18|11|3179|1|300117|17027|0|14275|866089|214204|871676|310377|191628|0|995713|912912|460774|165741|2969|608821|9|533931|350766|58|861993|72098|0|0|7768671|0.9
200911|9632|30|11|8|3044|0|299598|13400|0|8435|742181|249280|826422|289333|166149|0|1279870|900572|259999|168722|2501|814407|0|473520|452191|52|1191358|75832|0|0|8226547|0.9
200910|11524|9|14|6|3728|0|324331|12267|2|5294|725919|213292|582133|283300|177016|0|1452470|932398|254573|242522|2444|493694|0|590039|463263|33|692083|37900|0|0|7500254|0.9
200909|14092|1|14|7|2834|0|372859|13782|1|218|749397|170430|340052|331857|174832|0|1505109|759787|97026|312754|2178|398485|0|585067|403099|57|1223141|22068|0|0|7479147|0.8
200908|13953|82|29|8|4902|0|655416|11071|0|16|895937|189135|241250|306243|194090|0|2430230|1146208|99662|292381|2423|438010|0|935754|425794|97|599703|28112|0|0|8910506|1
200907|15858|2|7|2|7009|2|877461|80943|0|29|747794|241229|36801|316907|192304|1|10447733|872084|73630|215957|2272|409916|0|953864|264143|93|544503|22839|0|0|16323383|1.9
200906|17250|3|3|4|5142|0|553435|72991|3|21|1095690|191847|5568|327975|190377|0|13502014|822564|37836|160787|2317|388681|2|646036|179662|134|601248|19363|0|0|18820953|2.1
200905|18412|10|5|6|3858|0|354120|7513|1|12|1729374|183173|149|383720|193400|0|536724|761652|8937|142893|2514|462009|1|427632|180351|65|659372|24718|0|0|6080621|0.7
200904|16690|133|3|26|3470|0|402688|4007|1|7|1064178|184105|65|298916|199517|0|528889|1013604|2684|102427|2365|362951|4|481366|178501|71|655778|23412|1|0|5525859|0.6
200903|22028|39|0|109|3915|1|305819|3509|0|0|722287|189741|32|382257|212833|0|839221|740821|1171|77588|2404|961472|5|354889|196403|71|804631|13429|0|0|5834675|0.7
200902|45995|8|0|1|3154|0|258439|1993|6|0|679777|165322|53|491194|208123|0|488431|658409|1270|49675|2210|1657703|1|317188|162297|69|642810|10978|0|0|5845106|0.7
200901|21497|15|0|5|2391|0|314351|1261|0|0|664723|218683|34|560797|250790|0|515372|638461|2884|54460|2630|543550|0|475868|280101|103|554986|12808|0|0|5115770|0.6
200812|29077|7|1|5|1626|0|261172|944|0|0|542112|168215|43|562849|316147|0|526982|656393|526|44687|2329|662786|0|317962|186916|69|450853|10899|0|0|4742600|0.5
200811|17382|2|0|0|1099|0|234815|659|2|0|566381|147190|32|603971|404646|0|551834|752301|501|46945|2271|732288|2|298926|184984|26|554300|10835|0|0|5111392|0.6
200810|26825|9|0|0|1342|1|299669|730|0|0|649382|175332|297|517453|352768|0|460302|611047|1273|37828|2203|615432|2|462051|175532|9|247063|12187|0|0|4648737|0.5
200809|14567|2|0|1|1274|34|405088|475|0|0|505146|175815|47|564030|378600|0|452933|765684|1862|43166|2415|737453|1|447859|148362|17|263447|15895|0|0|4924173|0.6
200808|14906|1|0|1|750|0|497692|279|0|0|479134|157753|15|610411|258563|0|513689|985870|1572|38572|2263|551503|0|575581|131118|13|192222|16274|0|0|5028182|0.6
200807|8066|0|0|0|283|1|137978|55|0|0|182119|61643|7|211142|77701|0|169627|294828|4881|15386|801|204517|1|128450|57811|0|54724|5431|0|0|1615452|0.2
200806|18285|0|0|0|776|0|370376|171|0|0|478691|173756|14|466728|186511|0|441737|713556|1784|43441|2135|539470|0|256392|148848|0|210263|16864|0|0|4069798|0.5
200805|18596|0|0|0|452|0|116255|161|0|0|456002|175134|19|101427|184642|0|489765|850805|509|50943|2613|477533|1|150757|155467|3|207630|21615|0|0|3460329|0.4
200804|21232|0|0|0|415|1|127677|164|0|0|453202|179752|32|9832|171153|0|482557|956289|1473|50101|2524|343578|0|144052|161361|9|186221|18082|0|0|3309707|0.4
200803|18390|0|0|0|217|0|46994|172|2|0|408458|190277|12|2585|152559|0|531799|644585|25|51463|2164|365357|0|129976|140118|1|160233|10771|0|0|2856158|0.3
200802|28469|0|0|0|254|0|25397|148|2|0|413232|270167|4|43|142575|0|567161|742757|14|46686|2170|423762|0|108756|148107|0|173409|8359|0|0|3101472|0.4
200801|19751|0|0|0|286|0|23544|184|0|0|453282|181129|1|32|142908|0|402536|719684|1|46160|2319|327479|0|110517|140154|1|169773|6293|0|0|2746034|0.3
200712|4951|0|0|0|246|0|11181|80|0|0|250957|119285|0|168|101431|0|263977|390534|4|31081|1430|231451|0|40916|86386|0|97025|2582|0|0|1633685|0.2
Total|14542494|27994100|10452185|30972461|12187038|4674913|36467750|10118023|16471535|13236654|79058599|32021777|72466025|47168005|15823180|5188576|85006371|60292451|49533942|13927101|5000229|56142635|1468868|55644899|28972156|2305958|55285492|23572825|5872041|8674937880543220|100
Percentage|1.7|3.2|1.2|3.5|1.4|0.5|4.1|1.1|1.9|1.5|9|3.6|8.2|5.4|1.8|0.6|9.7|6.8|5.6|1.6|0.6|6.4|0.2|6.3|3.3|0.3|6.3|2.7|0.7|1|100
